,Days,Training_Error_Rate,Testing_Error_Rate,Training_Size,Testing_Size,Feature_Importance
0,D1_2,0,154,19071,22263,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,D2_3,103,329,22263,21465,"[0.15136593 0.06924349 0.02796226 0.03958277 0.03057922 0.00055796
 0.07652048 0.12387861 0.12498492 0.07501057 0.06856748 0.03612342
 0.06133343 0.0694372  0.04485228]"
2,D3_4,201,231,21465,21604,"[0.11749128 0.05917102 0.01910176 0.03388565 0.05315032 0.00032251
 0.07724632 0.07563542 0.07980127 0.06924277 0.091849   0.10907859
 0.05655115 0.06748926 0.08998368]"
3,D4_5,225,263,21604,22130,"[0.08637108 0.07817769 0.0231531  0.02037066 0.04359079 0.00171231
 0.06428094 0.06644898 0.06455655 0.1092304  0.14128651 0.05085014
 0.08641715 0.10655615 0.05699754]"
4,D5_6,247,171,22130,20763,"[0.0848578  0.08323931 0.02608596 0.01617066 0.03605024 0.00149805
 0.0674199  0.08379577 0.06665041 0.11831298 0.15225053 0.03719049
 0.08161232 0.09647106 0.04839452]"
5,D6_7,124,61,20763,17474,"[0.07893928 0.11055704 0.02063081 0.02651269 0.04631137 0.00022193
 0.06389204 0.14205926 0.07120659 0.10311923 0.14544329 0.03084905
 0.05788894 0.07571143 0.02665705]"
6,D7_8,69,183,17474,21612,"[0.07028387 0.12795565 0.02619492 0.02670623 0.05251839 0.00071582
 0.07358244 0.07179245 0.08373931 0.08199849 0.12462073 0.05107035
 0.0754956  0.09071174 0.04261402]"
7,D8_9,160,244,21612,22158,"[0.11667336 0.08864693 0.02955322 0.01482775 0.03352349 0.00075527
 0.05571486 0.07013206 0.07097388 0.08689433 0.13675614 0.05533655
 0.08506649 0.10055609 0.05458958]"
8,D9_10,233,669,22158,23554,"[0.08228386 0.06357731 0.02727071 0.02230948 0.03768678 0.00090641
 0.06833312 0.07718792 0.09555446 0.0930074  0.12272343 0.04515135
 0.09477694 0.11164276 0.05758808]"
9,D10_11,590,251,23554,24322,"[0.10384756 0.0751512  0.02827917 0.04776398 0.03374595 0.00038426
 0.09318313 0.0898663  0.10793155 0.09012655 0.09471091 0.03625825
 0.07272051 0.07375422 0.05227647]"
